Date,Favorite,Spread,Underdog,Total,Away Money Line,Home Money Line,Year,Week
"October 11, 2015 1:00 PM",at Ravens,-6.0,Browns,43.0,+220,-260,2015,5
"October 11, 2015 1:00 PM",at Bengals,-3.0,Seahawks,44.0,+150,-170,2015,5
"October 11, 2015 1:00 PM",at Eagles,-6.0,Saints,50.0,+220,-270,2015,5
"October 11, 2015 1:00 PM",at Buccaneers,-1.0,Jaguars,42.0,+105,-115,2015,5
"October 11, 2015 1:00 PM",Bills,-1.0,at Titans,43.0,-115,-105,2015,5
"October 11, 2015 4:05 PM",Cardinals,-4.0,at Lions,46.0,-220,+185,2015,5
"October 11, 2015 4:25 PM",Patriots,-8.0,at Cowboys,50.0,-380,+300,2015,5
"October 11, 2015 4:25 PM",Broncos,-4.0,at Raiders,44.0,-210,+180,2015,5
"October 11, 2015 8:30 PM",at Giants,-8.0,49ers,44.0,+280,-340,2015,5
"October 12, 2015 8:30 PM",at Chargers,-4.0,Steelers,46.0,+180,-210,2015,5
"October 15, 2015 8:25 PM",Falcons,-3.0,at Saints,52.0,-155,+135,2015,6
"October 18, 2015 1:00 PM",at Jets,-8.0,Redskins,40.0,+295,-360,2015,6
"October 18, 2015 1:00 PM",at Jaguars,-2.0,Texans,43.0,+125,-145,2015,6
"October 18, 2015 1:00 PM",at Vikings,-4.0,Chiefs,43.0,+160,-185,2015,6
"October 18, 2015 1:00 PM",Bengals,-3.0,at Bills,42.0,-164,+144,2015,6
"October 18, 2015 1:00 PM",Broncos,-3.0,at Browns,42.0,-185,+155,2015,6
"October 18, 2015 1:00 PM",at Lions,-4.0,Bears,46.0,+168,-200,2015,6
"October 18, 2015 1:00 PM",Cardinals,-6.0,at Steelers,46.0,-230,+205,2015,6
"October 18, 2015 1:00 PM",at Titans,-2.0,Dolphins,44.0,+115,-135,2015,6
"October 18, 2015 4:05 PM",at Seahawks,-7.0,Panthers,41.0,+260,-320,2015,6
"October 18, 2015 4:25 PM",Ravens,-2.0,at 49ers,44.0,-140,+120,2015,6
"October 18, 2015 4:25 PM",at Packers,-10.0,Chargers,50.0,+400,-500,2015,6
"October 18, 2015 8:30 PM",Patriots,-10.0,at Colts,54.0,-450,+350,2015,6
"October 19, 2015 8:30 PM",at Eagles,-4.0,Giants,50.0,+170,-200,2015,6
"October 22, 2015 8:25 PM",Seahawks,-6.0,at 49ers,42.0,-300,+225,2015,7
"October 25, 2015 9:30 AM",Bills,-4.0,at Jaguars,42.0,-200,+160,2015,7
"October 25, 2015 1:00 PM",at Chiefs,-3.0,Steelers,42.0,+150,-170,2015,7
"October 25, 2015 1:00 PM",Falcons,-6.0,at Titans,46.0,-250,+200,2015,7
"October 25, 2015 1:00 PM",at Redskins,-3.0,Buccaneers,42.0,+130,-150,2015,7
"October 25, 2015 1:00 PM",at Lions,-1.0,Vikings,44.0,+100,-120,2015,7
"October 25, 2015 1:00 PM",at Colts,-6.0,Saints,53.0,+210,-250,2015,7
"October 25, 2015 1:00 PM",at Rams,-6.0,Browns,44.0,+220,-260,2015,7
"October 25, 2015 1:00 PM",at Dolphins,-4.0,Texans,46.0,+180,-220,2015,7
"October 25, 2015 1:00 PM",at Patriots,-7.0,Jets,48.0,+270,-340,2015,7
"October 25, 2015 4:05 PM",at Chargers,-4.0,Raiders,48.0,+155,-175,2015,7
"October 25, 2015 4:25 PM",at Giants,-3.0,Cowboys,44.0,+140,-160,2015,7
"October 25, 2015 8:30 PM",at Panthers,-3.0,Eagles,46.0,+130,-150,2015,7
"October 26, 2015 8:30 PM",at Cardinals,-10.0,Ravens,50.0,+400,-500,2015,7
"October 29, 2015 8:25 PM",at Patriots,-8.0,Dolphins,51.0,+320,-400,2015,8
"November 1, 2015 9:30 AM",at Chiefs,-3.0,Lions,45.0,+140,-160,2015,8
"November 1, 2015 1:00 PM",at Rams,-8.0,49ers,41.0,+315,-400,2015,8
"November 1, 2015 1:00 PM",at Falcons,-8.0,Buccaneers,48.0,+333,-400,2015,8
"November 1, 2015 1:00 PM",at Ravens,-4.0,Chargers,50.0,+175,-210,2015,8
"November 1, 2015 1:00 PM",Vikings,-2.0,at Bears,44.0,-120,+110,2015,8
"November 1, 2015 1:00 PM",Cardinals,-7.0,at Browns,46.0,-320,+260,2015,8
"November 1, 2015 1:00 PM",at Saints,-3.0,Giants,52.0,+145,-170,2015,8
"November 1, 2015 1:00 PM",at Texans,-4.0,Titans,43.0,+155,-175,2015,8
"November 1, 2015 1:00 PM",at Steelers,-0.0,Bengals,49.0,-115,-105,2015,8
"November 1, 2015 4:05 PM",Jets,-3.0,at Raiders,44.0,-189,+155,2015,8
"November 1, 2015 4:25 PM",Seahawks,-5.0,at Cowboys,42.0,-222,+180,2015,8
"November 1, 2015 8:30 PM",Packers,-2.0,at Broncos,46.0,-140,+120,2015,8
"November 2, 2015 8:30 PM",at Panthers,-5.0,Colts,46.0,+195,-240,2015,8
"November 5, 2015 8:25 PM",at Bengals,-13.0,Browns,46.0,+550,-850,2015,9
"November 8, 2015 1:00 PM",at Bills,-4.0,Dolphins,44.0,+167,-200,2015,9
"November 8, 2015 1:00 PM",Packers,-2.0,at Panthers,46.0,-130,+110,2015,9
"November 8, 2015 1:00 PM",at Vikings,-2.0,Rams,40.0,+105,-125,2015,9
"November 8, 2015 1:00 PM",at Patriots,-14.0,Redskins,52.0,+700,-1400,2015,9
"November 8, 2015 1:00 PM",at Saints,-6.0,Titans,50.0,+250,-300,2015,9
"November 8, 2015 1:00 PM",at Jets,-8.0,Jaguars,42.0,+300,-360,2015,9
"November 8, 2015 1:00 PM",at Steelers,-6.0,Raiders,48.0,+195,-250,2015,9
"November 8, 2015 4:05 PM",Falcons,-8.0,at 49ers,44.0,-350,+285,2015,9
"November 8, 2015 4:05 PM",Giants,-2.0,at Buccaneers,49.0,-125,+105,2015,9
"November 8, 2015 4:25 PM",Broncos,-4.0,at Colts,45.0,-195,+160,2015,9
"November 8, 2015 8:30 PM",Eagles,-3.0,at Cowboys,44.0,-170,+150,2015,9
"November 9, 2015 8:30 PM",at Chargers,-4.0,Bears,50.0,+160,-200,2015,9
"November 12, 2015 8:25 PM",at Jets,-2.0,Bills,42.0,+115,-135,2015,10
"November 15, 2015 1:00 PM",at Eagles,-6.0,Dolphins,50.0,+210,-250,2015,10
"November 15, 2015 1:00 PM",at Steelers,-7.0,Browns,43.0,+250,-300,2015,10
"November 15, 2015 1:00 PM",at Ravens,-5.0,Jaguars,47.0,+195,-250,2015,10
"November 15, 2015 1:00 PM",at Packers,-10.0,Lions,50.0,+440,-600,2015,10
"November 15, 2015 1:00 PM",at Rams,-7.0,Bears,42.0,+305,-335,2015,10
"November 15, 2015 1:00 PM",Cowboys,-1.0,at Buccaneers,44.0,-115,-105,2015,10
"November 15, 2015 1:00 PM",Panthers,-4.0,at Titans,42.0,-200,+170,2015,10
"November 15, 2015 1:00 PM",Saints,-2.0,at Redskins,52.0,-125,+105,2015,10
"November 15, 2015 4:05 PM",at Raiders,-3.0,Vikings,44.0,+150,-160,2015,10
"November 15, 2015 4:25 PM",Patriots,-7.0,at Giants,52.0,-325,+265,2015,10
"November 15, 2015 4:25 PM",at Broncos,-4.0,Chiefs,42.0,+170,-200,2015,10
"November 15, 2015 8:30 PM",at Seahawks,-3.0,Cardinals,44.0,+130,-150,2015,10
"November 16, 2015 8:30 PM",at Bengals,-10.0,Texans,46.0,+400,-500,2015,10
"November 19, 2015 8:25 PM",at Jaguars,-3.0,Titans,42.0,+125,-145,2015,11
"November 22, 2015 1:00 PM",Cowboys,-2.0,at Dolphins,46.0,-130,+110,2015,11
"November 22, 2015 1:00 PM",at Falcons,-4.0,Colts,48.0,+160,-200,2015,11
"November 22, 2015 1:00 PM",at Ravens,-3.0,Rams,41.0,+130,-150,2015,11
"November 22, 2015 1:00 PM",at Panthers,-7.0,Redskins,44.0,+245,-300,2015,11
"November 22, 2015 1:00 PM",Broncos,-2.0,at Bears,42.0,-133,+110,2015,11
"November 22, 2015 1:00 PM",Raiders,-1.0,at Lions,50.0,-120,+100,2015,11
"November 22, 2015 1:00 PM",Jets,-4.0,at Texans,40.0,-200,+170,2015,11
"November 22, 2015 1:00 PM",at Eagles,-6.0,Buccaneers,46.0,+225,-300,2015,11
"November 22, 2015 4:05 PM",Chiefs,-3.0,at Chargers,46.0,-170,+150,2015,11
"November 22, 2015 4:25 PM",at Vikings,-1.0,Packers,45.0,-110,-110,2015,11
"November 22, 2015 4:25 PM",at Seahawks,-14.0,49ers,40.0,+750,-1100,2015,11
"November 22, 2015 8:30 PM",at Cardinals,-4.0,Bengals,48.0,+185,-215,2015,11
"November 23, 2015 8:30 PM",at Patriots,-7.0,Bills,48.0,+290,-350,2015,11
"November 26, 2015 12:30 PM",at Lions,-3.0,Eagles,47.0,N/A,N/A,2015,12
"November 26, 2015 4:30 PM",Panthers,-1.0,at Cowboys,44.0,N/A,N/A,2015,12
"November 26, 2015 8:30 PM",at Packers,-8.0,Bears,45.0,N/A,N/A,2015,12
"November 29, 2015 1:00 PM",at Texans,-4.0,Saints,51.0,N/A,N/A,2015,12
"November 29, 2015 1:00 PM",at Colts,-3.0,Buccaneers,46.0,N/A,N/A,2015,12
"November 29, 2015 1:00 PM",at Jaguars,-5.0,Chargers,47.0,N/A,N/A,2015,12
"November 29, 2015 1:00 PM",at Chiefs,-4.0,Bills,41.0,N/A,N/A,2015,12
"November 29, 2015 1:00 PM",at Jets,-4.0,Dolphins,44.0,N/A,N/A,2015,12
"November 29, 2015 1:00 PM",at Falcons,-2.0,Vikings,45.0,N/A,N/A,2015,12
