Player,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank
Jalen Richard,OAK,RB,25,2,0,0,0,0,0,0,7,27,3.86,0,11,9,55,6.11,0,,,8,17,17.2,12.7,,50,
Theo Riddick,DET,RB,27,2,0,0,0,0,0,0,4,20,5.00,0,19,14,62,4.43,0,,,8,22,22.2,15.2,,51,
Michael Roberts,DET,TE,24,2,1,0,0,0,0,0,0,0,,0,1,1,15,15.00,1,,,8,9,8.5,8.0,,22,
C.J. Anderson,CAR,RB,27,2,1,0,0,0,0,0,10,66,6.60,0,2,0,0,,0,,,7,7,6.6,6.6,,59,
Alex Armah,CAR,RB,24,2,0,0,0,0,0,0,2,5,2.50,1,0,0,0,,0,,,7,7,6.5,6.5,,60,
Nick Boyle,BAL,TE,25,2,1,0,0,0,0,0,0,0,,0,10,5,66,13.20,0,,,7,12,11.6,9.1,,26,
Tarik Cohen,CHI,RB,23,2,1,0,0,0,0,0,9,33,3.67,0,5,4,33,8.25,0,,,7,11,10.6,8.6,,58,
Chris Conley,KAN,WR,26,2,2,0,0,0,0,0,0,0,,0,3,3,32,10.67,1,,,7,10,11.2,8.7,,76,
Jamison Crowder,WAS,WR,25,2,2,0,0,0,0,0,2,29,14.50,0,8,5,40,8.00,0,,,7,12,11.9,9.4,,79,
Chase Edmonds,ARI,RB,22,2,0,0,0,0,0,0,5,29,5.80,0,9,9,39,4.33,0,,,7,16,15.8,11.3,,56,
Tyler Eifert,CIN,TE,28,2,0,0,0,0,0,0,0,0,,0,7,5,67,13.40,0,,,7,12,11.7,9.2,,25,
Taylor Gabriel,CHI,WR,27,2,1,0,0,0,0,0,3,17,5.67,0,12,9,55,6.11,0,,,7,16,16.2,11.7,,77,
Corey Grant,JAX,RB,27,2,0,0,0,0,0,0,5,16,3.20,0,7,6,56,9.33,0,,,7,13,13.2,10.2,,53,
Duke Johnson,CLE,RB,25,3,1,0,0,0,0,0,10,29,2.90,0,10,5,39,7.80,0,,,7,12,11.8,9.3,,55,
Kyle Juszczyk,SFO,RB,27,2,2,0,0,0,0,0,0,0,,0,6,4,69,17.25,0,,,7,11,10.9,8.9,,54,
Ty Montgomery,GNB,RB,25,2,0,0,0,0,0,0,7,38,5.43,0,5,3,30,10.00,0,,,7,10,9.8,8.3,,57,
David Njoku,CLE,TE,22,3,3,0,0,0,0,0,0,0,,0,16,9,69,7.67,0,,,7,16,15.9,11.4,,24,
Rashaad Penny,SEA,RB,22,2,0,0,0,0,0,0,17,38,2.24,0,7,4,35,8.75,0,,,7,11,11.3,9.3,,52,
John Ross,CIN,WR,24,2,1,0,0,0,0,0,1,-3,-3.00,0,6,2,11,5.50,1,,,7,9,8.8,7.8,,80,
Sterling Shepard,NYG,WR,25,2,2,0,0,0,0,0,0,0,,0,12,8,72,9.00,0,,,7,15,15.2,11.2,,78,
James Washington,PIT,WR,22,2,1,0,0,0,0,0,0,0,,0,5,1,14,14.00,1,,,7,8,8.4,7.9,,75,
Maxx Williams,BAL,TE,24,2,1,0,0,0,0,0,1,7,7.00,0,6,6,63,10.50,0,,,7,13,13.0,10.0,,23,
Danny Amendola,MIA,WR,33,2,2,0,0,0,0,0,0,0,,0,10,8,58,7.25,0,,,6,14,13.8,9.8,,87,
Kendrick Bourne,SFO,WR,23,2,0,0,0,0,0,0,0,0,,0,2,1,4,4.00,1,,,6,7,7.4,6.9,,81,
Jack Doyle,IND,TE,28,2,2,0,0,0,0,0,0,0,,0,15,9,80,8.89,0,,,6,15,16.0,10.5,,29,
Leonard Fournette,JAX,RB,23,1,1,0,0,0,0,0,9,41,4.56,0,3,3,14,4.67,0,,,6,9,8.5,7.0,,62,
Tyler Higbee,LAR,TE,25,2,2,0,0,0,0,0,0,0,,0,2,1,3,3.00,1,,,6,7,7.3,6.8,,28,
Darius Jennings,TEN,,26,2,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,,6,6,6.0,6.0,,86,
Latavius Murray,MIN,RB,28,2,0,0,0,0,0,0,15,61,4.07,0,0,0,0,,0,,,6,6,6.1,6.1,,61,
Joshua Perkins,PHI,TE,25,2,0,0,0,0,0,0,0,0,,0,6,4,57,14.25,0,,,6,10,9.7,7.7,,30,
Andre Roberts,NYJ,WR,30,3,0,0,0,0,0,0,1,2,2.00,0,0,0,0,,0,,,6,6,6.2,6.2,,83,
Demarcus Robinson,KAN,WR,24,2,0,0,0,0,0,0,0,0,,0,1,1,3,3.00,1,,,6,7,7.3,6.8,,82,
Deonte Thompson,DAL,WR,29,2,2,0,0,0,0,0,0,0,,0,10,7,60,8.57,0,,,6,13,13.0,9.5,,85,
De'Anthony Thomas,KAN,WR,25,2,0,0,0,0,0,0,0,0,,0,2,1,1,1.00,1,,,6,7,7.1,6.6,,84,
Ben Watson,NOR,TE,38,2,2,0,0,0,0,0,0,0,,0,9,7,63,9.00,0,,,6,13,13.3,9.8,,27,
Giovani Bernard,CIN,RB,27,2,0,0,0,0,0,0,7,25,3.57,0,8,5,26,5.20,0,,,5,10,10.1,7.6,,64,
Josh Doctson,WAS,WR,26,2,2,0,0,0,0,0,0,0,,0,10,5,48,9.60,0,,,5,10,9.8,7.3,,90,
Devonta Freeman,ATL,RB,26,1,1,0,0,0,0,0,6,36,6.00,0,5,3,14,4.67,0,,,5,8,8.0,6.5,,65,
Lamar Jackson,BAL,QB,21,2,0,1,4,24,0,0,9,45,5.00,0,0,0,0,,0,,,5,5,5.5,5.5,,33,
Jordy Nelson,OAK,WR,33,2,2,0,0,0,0,0,0,0,,0,8,5,53,10.60,0,,,5,10,10.3,7.8,,89,
Ito Smith,ATL,RB,23,2,0,0,0,0,0,0,9,46,5.11,0,1,1,8,8.00,0,,,5,6,6.4,5.9,,63,
Luke Stocker,TEN,TE,30,2,1,0,0,0,0,0,0,0,,0,4,4,52,13.00,0,,,5,9,9.2,7.2,,31,
Courtland Sutton,DEN,WR,23,2,0,0,0,0,0,0,0,0,,0,11,3,54,18.00,0,,,5,8,8.4,6.9,,88,
Eric Tomlinson,NYJ,TE,26,3,3,0,0,0,0,0,0,0,,0,5,3,45,15.00,0,,,5,8,7.5,6.0,,34,
C.J. Uzomah,CIN,TE,25,2,2,0,0,0,0,0,0,0,,0,5,4,49,12.25,0,,,5,9,8.9,6.9,,33,
Delanie Walker,TEN,TE,34,1,1,0,0,0,0,0,0,0,,0,7,4,52,13.00,0,,,5,9,9.2,7.2,,32,
Kamar Aiken,PHI,WR,29,1,1,0,0,0,0,0,0,0,,0,6,5,39,7.80,0,,,4,9,8.9,6.4,,94,
Sam Bradford,ARI,QB,31,2,2,37,61,243,0,2,2,7,3.50,0,0,0,0,,0,,,4,4,7.4,6.4,,34,
Jaron Brown,SEA,WR,28,2,0,0,0,0,0,0,0,0,,0,6,4,43,10.75,0,,,4,8,8.3,6.3,,91,
Nick Chubb,CLE,RB,23,3,0,0,0,0,0,0,7,41,5.86,0,0,0,0,,0,,,4,4,4.1,4.1,,69,
Antonio Gates,LAC,TE,38,2,0,0,0,0,0,0,0,0,,0,4,2,16,8.00,0,1,,4,6,5.6,4.6,,36,
Jacob Hollister,NWE,WR,25,1,1,0,0,0,0,0,0,0,,0,3,3,35,11.67,0,,,4,7,6.5,5.0,,97,
Adam Humphries,TAM,WR,25,2,1,0,0,0,0,0,0,0,,0,7,4,35,8.75,0,,,4,8,7.5,5.5,,96,
Cody Latimer,NYG,WR,26,2,0,0,0,0,0,0,0,0,,0,3,2,41,20.50,0,,,4,6,6.1,5.1,,93,
Marlon Mack,IND,RB,22,1,1,0,0,0,0,0,10,34,3.40,0,2,1,2,2.00,0,,,4,5,4.6,4.1,,72,
Doug Martin,OAK,RB,29,2,0,0,0,0,0,0,11,44,4.00,0,3,3,-3,-1.00,0,,,4,7,7.1,5.6,,68,
Sony Michel,NWE,RB,23,1,0,0,0,0,0,0,10,34,3.40,0,2,1,7,7.00,0,,,4,5,5.1,4.6,,70,
Marcus Murphy,BUF,RB,27,2,0,0,0,0,0,0,9,37,4.11,0,7,1,7,7.00,0,,,4,5,5.4,4.9,,66,
Cordarrelle Patterson,NWE,WR,27,2,1,0,0,0,0,0,4,18,4.50,0,6,4,24,6.00,0,,,4,8,8.2,6.2,,92,
Jacquizz Rodgers,TAM,RB,28,2,0,0,0,0,0,0,7,14,2.00,0,4,4,25,6.25,0,,,4,8,7.9,5.9,,71,
Chester Rogers,IND,WR,24,2,1,0,0,0,0,0,0,0,,0,6,6,35,5.83,0,,,4,10,9.5,6.5,,95,
Ricky Seals-Jones,ARI,TE,23,2,2,0,0,0,0,0,0,0,,0,12,7,36,5.14,0,,,4,11,10.6,7.1,,35,
Spencer Ware,KAN,RB,27,2,0,0,0,0,0,0,4,35,8.75,0,1,1,8,8.00,0,,,4,5,5.3,4.8,,67,
Jordan Akins,HOU,TE,26,2,0,0,0,0,0,0,0,0,,0,4,4,32,8.00,0,,,3,7,7.2,5.2,,39,
LeGarrette Blount,DET,RB,32,2,2,0,0,0,0,0,12,35,2.92,0,1,1,-3,-3.00,0,,,3,4,4.2,3.7,,75,
Devontae Booker,DEN,RB,26,2,0,0,0,0,0,0,5,21,4.20,0,2,2,11,5.50,0,,,3,5,5.2,4.2,,74,
Martavis Bryant,OAK,WR,27,1,1,0,0,0,0,0,0,0,,0,3,4,30,7.50,0,,,3,7,7.0,5.0,,104,
Derek Carrier,OAK,TE,28,2,1,0,0,0,0,0,0,0,,0,5,3,25,8.33,0,,,3,6,5.5,4.0,,49,
Charles Clay,BUF,TE,29,2,2,0,0,0,0,0,0,0,,0,5,2,29,14.50,0,,,3,5,4.9,3.9,,42,
Jason Croom,BUF,TE,24,2,0,0,0,0,0,0,0,0,,0,7,4,25,6.25,0,,,3,7,6.5,4.5,,50,
Darren Fells,CLE,TE,32,3,3,0,0,0,0,0,0,0,,0,3,3,27,9.00,0,,,3,6,5.7,4.2,,44,
Robert Foster,BUF,WR,24,2,0,0,0,0,0,0,0,0,,0,5,2,30,15.00,0,,,3,5,5.0,4.0,,103,
Marvin Hall,ATL,WR,25,2,0,0,0,0,0,0,0,0,,0,1,1,30,30.00,0,,,3,4,4.0,3.5,,102,
Christopher Herndon,NYJ,TE,22,3,2,0,0,0,0,0,0,0,,0,6,4,29,7.25,0,,,3,7,6.9,4.9,,41,
Jeff Heuerman,DEN,TE,26,2,2,0,0,0,0,0,0,0,,0,4,3,25,8.33,0,,,3,6,5.5,4.0,,48,
