Player,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank
Tyler Conklin,MIN,TE,23,2,0,0,0,0,0,0,0,0,,0,1,1,6,6.00,0,,,1,2,1.6,1.1,,69,
Tyler Ervin,HOU,RB,25,2,0,0,0,0,0,0,0,0,,0,1,1,12,12.00,0,,,1,2,2.2,1.7,,85,
Michael Gallup,DAL,WR,22,2,0,0,0,0,0,0,0,0,,0,3,2,14,7.00,0,,,1,3,3.4,2.4,,115,
Mike Gesicki,MIA,TE,23,2,1,0,0,0,0,0,0,0,,0,2,1,11,11.00,0,,,1,2,2.1,1.6,,65,
Mike Gillislee,2TM,RB,28,2,0,0,0,0,0,0,11,27,2.45,0,0,0,0,,0,,,1,1,1.7,0.7,,92,
C.J. Ham,MIN,RB,25,2,0,0,0,0,0,0,1,5,5.00,0,2,0,0,,0,,,1,1,0.5,0.5,,96,
Andre Holmes,BUF,WR,30,2,0,0,0,0,0,0,0,0,,0,5,1,14,14.00,0,,,1,2,2.4,1.9,,116,
Justin Hunter,PIT,WR,27,1,0,0,0,0,0,0,0,0,,0,5,1,6,6.00,0,,,1,2,1.6,1.1,,122,
Andy Janovich,DEN,RB,25,2,0,0,0,0,0,0,0,0,,0,1,1,11,11.00,0,,,1,2,2.1,1.6,,86,
T.J. Jones,DET,WR,26,2,0,0,0,0,0,0,0,0,,0,3,1,6,6.00,0,,,1,2,1.6,1.1,,120,
Robert Kelley,WAS,RB,26,2,0,0,0,0,0,0,4,8,2.00,0,0,0,0,,0,,,1,1,0.8,0.8,,90,
Jeremy Kerley,BUF,WR,30,1,1,0,0,0,0,0,0,0,,0,4,2,7,3.50,0,,,1,3,2.7,1.7,,119,
Tre Madden,SEA,RB,25,2,0,0,0,0,0,0,0,0,,0,1,1,7,7.00,0,,,1,2,1.7,1.2,,93,
Rishard Matthews,TEN,WR,29,2,0,0,0,0,0,0,0,0,,0,4,2,8,4.00,0,,,1,3,2.8,1.8,,118,
Christine Michael,IND,RB,28,1,0,0,0,0,0,0,2,9,4.50,0,0,0,0,,0,,,1,1,0.9,0.9,,89,
Logan Paulsen,ATL,TE,31,2,2,0,0,0,0,0,0,0,,0,1,1,10,10.00,0,,,1,2,2.0,1.5,,66,
Stevan Ridley,PIT,RB,29,2,0,0,0,0,0,0,1,2,2.00,0,1,1,5,5.00,0,,,1,2,1.7,1.2,,91,
Dion Sims,CHI,TE,27,2,2,0,0,0,0,0,0,0,,0,3,2,9,4.50,0,,,1,3,2.9,1.9,,67,
Wendell Smallwood,PHI,RB,24,2,0,0,0,0,0,0,7,28,4.00,0,1,1,2,2.00,0,,,1,2,3.0,1.5,,87,
Jonnu Smith,TEN,TE,23,2,2,0,0,0,0,0,0,0,,0,3,1,12,12.00,0,,,1,2,2.2,1.7,,64,
Keith Smith,OAK,RB,26,2,0,0,0,0,0,0,0,0,,0,3,2,12,6.00,0,,,1,3,3.2,2.2,,84,
Rod Smith,DAL,RB,26,2,0,0,0,0,0,0,1,5,5.00,0,1,0,0,,0,,,1,1,0.5,0.5,,95,
Jonathan Stewart,NYG,RB,31,2,0,0,0,0,0,0,4,9,2.25,0,0,0,0,,0,,,1,1,0.9,0.9,,88,
Erik Swoope,IND,TE,26,1,0,0,0,0,0,0,0,0,,0,1,1,13,13.00,0,,,1,2,2.3,1.8,,62,
Ian Thomas,CAR,TE,22,2,1,0,0,0,0,0,0,0,,0,5,4,14,3.50,0,,,1,5,5.4,3.4,,61,
Levine Toilolo,DET,TE,27,2,1,0,0,0,0,0,0,0,,0,1,1,7,7.00,0,,,1,2,1.7,1.2,,68,
Hakeem Valles,DET,TE,26,1,0,0,0,0,0,0,0,0,,0,2,1,5,5.00,0,,,1,2,1.5,1.0,,70,
Luke Willson,DET,TE,28,2,1,0,0,0,0,0,0,0,,0,2,1,13,13.00,0,,,1,2,2.3,1.8,,63,
Ameer Abdullah,DET,,25,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,,,,,,,142,
Jerell Adams,NYG,,26,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,,,,,,,82,
Dwayne Allen,NWE,,28,2,2,0,0,0,0,0,0,0,,0,0,0,0,,0,,,,,,,,97,
Jace Amaro,KAN,,26,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,,,,,,,75,
Stephen Anderson,HOU,,25,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,,,,,,,88,
Cameron Artis-Payne,CAR,,28,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,,,,,,,103,
Matt Barkley,CIN,,28,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,,,,,,,50,
Kenjon Barner,CAR,,28,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,,,,,,,105,
Evan Baylis,CAR,,25,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,,,,,,,105,
Blake Bell,MIN,,27,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,,,,,,,101,
Le'Veon Bell,PIT,,26,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,,,,,,,118,
Kapri Bibbs,WAS,,25,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,,,,,,,130,
Tommy Bohanon,JAX,,28,2,2,0,0,0,0,0,0,0,,0,0,0,0,,0,,,,,,,,7,
Brandon Bolden,2TM,,28,2,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,,,,,,,143,
Victor Bolden,SFO,,23,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,,,,,,,138,
Braedon Bowman,LAC,,24,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,,,,,,,102,
Ben Braunecker,CHI,,24,2,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,,,,,,,86,
Quan Bray,HOU,,25,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,,,,,,,189,
Tyler Bray,CHI,,27,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,,,,,,,64,
Teddy Bridgewater,NYJ,,26,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,,,,,,,43,
Daniel Brown,CHI,,26,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,,,,,,,150,
Marlon Brown,CHI,,27,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,,,,,,,166,
Aaron Burbridge,SFO,,25,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,,,,,,,175,
Brice Butler,ARI,,28,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,,,,,,,192,
Travaris Cadet,BUF,,29,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,,,,,,,115,
Leonte Carroo,MIA,,24,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,,,,,,,152,
Cethan Carter,CIN,,25,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,,,,,,,84,
Orson Charles,CLE,,27,3,0,0,0,0,0,0,0,0,,0,1,0,0,,0,,,,,,,,90,
Jehu Chesson,2TM,,25,1,0,0,0,0,0,0,0,0,,0,1,0,0,,0,,,,,,,,148,
Sammie Coates,HOU,,25,1,0,0,0,0,0,0,0,0,,0,1,0,0,,0,,,,,,,,176,
Derrick Coleman,ARI,RB,28,2,1,0,0,0,0,0,1,1,1.00,0,0,0,0,,0,,,,,0.1,0.1,,102,
Stacy Coley,MIN,,24,2,0,0,0,0,0,0,0,0,,0,1,0,0,,0,,,,,,,,139,
Pharoh Cooper,LAR,,23,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,,,,,,,201,
Cody Core,CIN,,24,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,,,,,,,177,
Alan Cross,TAM,,25,2,1,0,0,0,0,0,0,0,,0,1,0,0,,0,,,,,,,,115,
Sean Culkin,LAC,,25,2,1,0,0,0,0,0,0,0,,0,0,0,0,,0,,,,,,,,91,
Benny Cunningham,CHI,,28,2,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,,,,,,,135,
Chase Daniel,CHI,,32,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,,,,,,,53,
Darrell Daniels,2TM,,24,2,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,,,,,,,103,
Austin Davis,SEA,,29,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,,,,,,,61,
Geremy Davis,LAC,,26,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,,,,,,,202,
Justin Davis,LAR,,23,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,,,,,,,120,
Knile Davis,CHI,,27,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,,,,,,,141,
Mike Davis,SEA,RB,25,1,0,0,0,0,0,0,3,3,1.00,0,1,1,-1,-1.00,0,,,,1,1.2,0.7,,100,
Matthew Dayes,CLE,,24,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,,,,,,,132,
Anthony Denham,PHI,,27,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,,,,,,,87,
Seth Devalve,CLE,,25,1,1,0,0,0,0,0,0,0,,0,0,0,0,,0,,,,,,,,104,
Donteea Dye,TAM,,25,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,,,,,,,203,
Julian Edelman,NWE,,32,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,,,,,,,159,
Trey Edmunds,NOR,,24,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,,,,,,,106,
Gavin Escobar,MIA,,27,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,,,,,,,72,
David Fales,MIA,,28,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,,,,,,,38,
Kenneth Farrow,NWE,,25,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,,,,,,,137,
Josh Ferguson,IND,,25,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,,,,,,,133,
Michael Floyd,NOR,,29,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,,,,,,,153,
David Fluellen,TEN,,26,2,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,,,,,,,125,
D.J. Foster,ARI,,25,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,,,,,,,139,
Bennie Fowler,CHI,,27,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,,,,,,,140,
Jalston Fowler,ATL,,28,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,,,,,,,6,
Tanner Gentry,CHI,,24,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,,,,,,,194,
Garrett Gilbert,CAR,,27,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,,,,,,,48,
Mike Glennon,ARI,,29,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,,,,,,,39,
Dallas Goedert,PHI,TE,23,2,0,0,0,0,0,0,0,0,,0,3,1,4,4.00,0,,,,1,1.4,0.9,,71,
Marquise Goodwin,SFO,,28,1,1,0,0,0,0,0,0,0,,0,1,0,0,,0,,,,,,,,125,
Garrett Grayson,ATL,,27,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,,,,,,,45,
MarQueis Gray,MIA,,29,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,,,,,,,113,
Rashad Greene,JAX,,26,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,,,,,,,126,
Robert Griffin,BAL,,28,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,,,,,,,52,
Ryan Griffin,TAM,,29,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,,,,,,,62,
Xavier Grimble,PIT,,26,2,1,0,0,0,0,0,0,0,,0,0,0,0,,0,,,,,,,,73,
Cobi Hamilton,IND,,28,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,,,,,,,195,
Chad Hansen,NYJ,,23,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,,,,,,,155,
Russell Hansbrough,LAC,,25,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,,,,,,,127,
Justin Hardy,ATL,,27,2,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,,,,,,,184,
Justin Hardee,NOR,,24,2,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,,,,,,,204,
Clark Harris,CIN,,34,2,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,,,,,,,110,
Demetrius Harris,KAN,,27,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,,,,,,,85,
Temarrick Hemingway,LAR,,25,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,,,,,,,80,
De'Angelo Henderson,DEN,,26,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,,,,,,,128,
Chad Henne,KAN,,33,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,,,,,,,46,
Ryan Hewitt,2TM,,27,1,0,0,0,0,0,0,0,0,,0,1,0,0,,0,,,,,,,,5,
Darrius Heyward-Bey,PIT,,31,2,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,,,,,,,185,
Mack Hollins,PHI,,25,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,,,,,,,186,
Johnny Holton,OAK,,27,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,,,,,,,196,
Brian Hoyer,NWE,,33,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,,,,,,,57,
Josh Huff,NOR,,27,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,,,,,,,168,
Mark Ingram,NOR,,29,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,,,,,,,108,
Darius Jackson,2TM,,25,2,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,,,,,,,110,
Jeff Janis,CLE,,27,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,,,,,,,179,
Alshon Jeffery,PHI,,28,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,,,,,,,144,
Charles Johnson,NYJ,,29,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,,,,,,,198,
Malcolm Johnson,SFO,,26,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,,,,,,,2,
Marcus Johnson,2TM,,24,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,,,,,,,160,
Aaron Jones,GNB,,24,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,,,,,,,123,
Landry Jones,PIT,,29,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,,,,,,,63,
Matt Jones,PHI,,25,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,,,,,,,124,
Tavarres King,MIN,,28,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,,,,,,,169,
Ben Koyack,JAX,,25,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,,,,,,,78,
Matt LaCosse,DEN,,26,2,0,0,0,0,0,0,0,0,,0,1,0,0,,0,,,,,,,,81,
Brandon LaFell,OAK,,32,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,,,,,,,187,
Jake Lampman,TAM,,25,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,,,,,,,180,
Jeremy Langford,MIA,,27,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,,,,,,,112,
Khari Lee,BUF,,26,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,,,,,,,83,
Marqise Lee,JAX,,27,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,,,,,,,161,
Jordan Leslie,DEN,,27,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,,,,,,,164,
Marcedes Lewis,GNB,,34,2,0,0,0,0,0,0,0,0,,0,1,0,0,,0,,,,,,,,96,
Roger Lewis,NYG,,25,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,,,,,,,188,
Tommylee Lewis,NOR,,26,2,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,,,,,,,205,
Zach Line,NOR,RB,28,2,0,0,0,0,0,0,0,0,,0,2,1,4,4.00,0,,,,1,1.4,0.9,,97,
Tony Lippett,MIA,,26,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,,,,,,,162,
Greg Little,ARI,,29,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,,,,,,,191,
Ricardo Louis,CLE,,24,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,,,,,,,174,
Terrence Magee,ATL,,25,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,,,,,,,114,
Sean Mannion,LAR,,26,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,,,,,,,54,
EJ Manuel,OAK,,28,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,,,,,,,59,
Bradley Marquez,DET,,26,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,,,,,,,137,
Freddie Martino,TAM,,27,2,0,0,0,0,0,0,0,0,,0,1,0,0,,0,,,,,,,,156,
Vince Mayle,BAL,,27,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,,,,,,,163,
Tre McBride,NYJ,,26,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,,,,,,,145,
A.J. McCarron,BUF,,28,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,,,,,,,49,
Max McCaffrey,SFO,,24,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,,,,,,,151,
Colt McCoy,WAS,,32,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,,,,,,,42,
Josh McCown,NYJ,,39,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,,,,,,,41,
Tanner McEvoy,3TM,,25,2,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,,,,,,,131,
Matt McGloin,KAN,,29,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,,,,,,,60,
Sean McGrath,DET,,31,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,,,,,,,93,
Isaiah McKenzie,DEN,,23,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,,,,,,,199,
Jerick McKinnon,SFO,,26,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,,,,,,,140,
Cameron Meredith,NOR,,26,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,,,,,,,146,
Braxton Miller,HOU,,26,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,,,,,,,181,
Zach Miller,CHI,,34,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,,,,,,,98,
Raheem Mostert,SFO,,26,2,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,,,,,,,144,
JJ Nelson,ARI,,26,2,0,0,0,0,0,0,0,0,,0,1,0,0,,0,,,,,,,,165,
Detrez Newsome,LAC,RB,24,2,0,0,0,0,0,0,1,0,0.00,0,0,0,0,,0,,,,,,,,119,
Jamize Olawale,DAL,,29,2,1,0,0,0,0,0,0,0,,0,0,0,0,,0,,,,,,,,1,
Nick O'Leary,BUF,,26,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,,,,,,,99,
Branden Oliver,IND,,27,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,,,,,,,138,
Ryan O'Malley,NYG,,25,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,,,,,,,94,
Brock Osweiler,MIA,,28,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,,,,,,,55,
Brian Parker,DEN,,26,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,,,,,,,89,
DeVante Parker,MIA,,25,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,,,,,,,132,
Charone Peake,NYJ,,26,3,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,,,,,,,147,
Elijhaa Penny,ARI,,25,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,,,,,,,116,
Samaje Perine,WAS,,23,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,,,,,,,113,
Breshad Perriman,BAL,,25,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,,,,,,,133,
Senorise Perry,MIA,,27,2,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,,,,,,,131,
John Phillips,NOR,,31,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,,,,,,,79,
DeVier Posey,BAL,,28,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,,,,,,,182,
MyCole Pruitt,2TM,,26,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,,,,,,,111,
Brian Quick,WAS,,29,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,,,,,,,200,
Thomas Rawls,NYJ,,25,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,,,,,,,136,
Bernard Reedy,TAM,,27,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,,,,,,,157,
Josh Reynolds,LAR,,23,2,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,,,,,,,158,
Aaron Ripkowski,GNB,,26,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,,,,,,,3,
Richard Rodgers,PHI,,26,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,,,,,,,100,
Eli Rogers,PIT,,26,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,,,,,,,142,
Rashad Ross,ARI,,28,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,,,,,,,149,
Jake Rudock,DET,,25,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,,,,,,,36,
Curtis Samuel,CAR,,22,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,,,,,,,124,
Eric Saubert,ATL,,24,2,0,0,0,0,0,0,0,0,,0,1,0,0,,0,,,,,,,,92,
Tom Savage,NOR,,28,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,,,,,,,58,
Wes Saxton,SFO,,25,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,,,,,,,112,
Matt Schaub,ATL,QB,37,1,0,0,0,0,0,0,1,0,0.00,0,0,0,0,,0,,,,,,,,37,
Adam Shaheen,CHI,,25,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,,,,,,,106,
Russell Shepard,NYG,,28,2,0,0,0,0,0,0,0,0,,0,1,0,0,,0,,,,,,,,170,
Trevor Siemian,MIN,,27,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,,,,,,,40,
Charles Sims,TAM,,28,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,,,,,,,104,
Matt Slater,NWE,,33,2,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,,,,,,,167,
Geno Smith,LAC,QB,28,1,0,0,0,0,0,0,1,-1,-1.00,0,0,0,0,,0,,,,,-0.1,-0.1,,65,
Lee Smith,OAK,,31,2,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,,,,,,,107,
Nate Solder,NYG,,30,2,2,0,0,0,0,0,0,0,,0,0,0,0,,0,,,,,,,,114,
Jeremy Sprinkle,WAS,,24,2,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,,,,,,,108,
Drew Stanton,CLE,,34,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,,,,,,,44,
ArDarius Stewart,NYJ,,25,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,,,,,,,190,
Rod Streater,BUF,,30,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,,,,,,,193,
Alex Tanney,NYG,,31,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,,,,,,,51,
Brandon Tate,NOR,,31,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,,,,,,,171,
Jordan Taylor,DEN,,26,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,,,,,,,154,
Juwan Thompson,TEN,,24,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,,,,,,,134,
Mike Thomas,LAR,,24,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,,,,,,,183,
Fitzgerald Toussaint,PIT,,28,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,,,,,,,126,
Ross Travis,IND,,25,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,,,,,,,76,
Robert Turbin,IND,,29,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,,,,,,,121,
Will Tye,NWE,,27,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,,,,,,,109,
Marquez Valdes-Scantling,GNB,WR,24,2,0,0,0,0,0,0,0,0,,0,1,1,3,3.00,0,,,,1,1.3,0.8,,123,
Shane Vereen,NOR,,29,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,,,,,,,145,
Clive Walford,NYJ,,27,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,,,,,,,77,
Darren Waller,BAL,,26,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,,,,,,,127,
Mike Wallace,PHI,,32,2,2,0,0,0,0,0,0,0,,0,3,0,0,,0,,,,,,,,143,
DeAndre Washington,OAK,,25,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,,,,,,,117,
Dwayne Washington,DET,,24,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,,,,,,,129,
Derek Watt,LAC,RB,26,2,0,0,0,0,0,0,1,1,1.00,0,0,0,0,,0,,,,,0.1,0.1,,101,
Joe Webb,HOU,,32,2,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,,,,,,,134,
Brandon Weeden,HOU,,35,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,,,,,,,56,
Terrance West,NOR,,27,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,,,,,,,122,
Griff Whalen,OAK,,28,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,,,,,,,197,
Markus Wheaton,PHI,,27,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,,,,,,,135,
DeAndrew White,2TM,,27,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,,,,,,,128,
Fozzy Whittaker,CAR,,29,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,,,,,,,107,
Kevin White,CHI,,26,2,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,,,,,,,141,
Lucky Whitehead,NYJ,,26,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,,,,,,,178,
Cole Wick,SFO,,25,2,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,,,,,,,74,
Brandon Wilds,JAX,RB,25,1,0,0,0,0,0,0,3,4,1.33,0,0,0,0,,0,,,,,0.4,0.4,,98,
Chad Williams,ARI,,24,2,1,0,0,0,0,0,0,0,,0,6,0,0,,0,,,,,,,,172,
Damien Williams,KAN,RB,26,2,0,0,0,0,0,0,1,0,0.00,0,1,1,2,2.00,0,,,,1,1.2,0.7,,99,
Jonathan Williams,NOR,RB,24,2,0,0,0,0,0,0,2,-1,-0.50,0,0,0,0,,0,,,,,-0.1,-0.1,,146,
Kasen Williams,IND,,26,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,,,,,,,129,
Kerwynn Williams,KAN,,27,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,,,,,,,109,
Nick Williams,TEN,,28,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,,,,,,,136,
Trey Williams,DAL,,26,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,,,,,,,111,
Jameis Winston,TAM,,24,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,,,,,,,47,
James Wright,IND,,27,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,,,,,,,173,
Kendall Wright,MIN,,29,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,,,,,,,130,
